timestamp,value,hour,minute,sqrt_value
2014-07-01 00:00:00,10844,00,00,104.1345283756
2014-07-01 00:30:00,8127,00,30,90.1498752079
2014-07-01 01:00:00,6210,01,00,78.8035532194
2014-07-01 01:30:00,4656,01,30,68.2348884369
2014-07-01 02:00:00,3820,02,00,61.8061485614
2014-07-01 02:30:00,2873,02,30,53.600373133
2014-07-01 03:00:00,2369,03,00,48.6723740946
2014-07-01 03:30:00,2064,03,30,45.4312667664
2014-07-01 04:00:00,2221,04,00,47.1274866718
2014-07-01 04:30:00,2158,04,30,46.4542785973
2014-07-01 05:00:00,2515,05,00,50.1497756725
2014-07-01 05:30:00,4364,05,30,66.0605782597
2014-07-01 06:00:00,6526,06,00,80.7836617145
2014-07-01 06:30:00,11039,06,30,105.0666455161
2014-07-01 07:00:00,13857,07,00,117.7157593528
2014-07-01 07:30:00,15865,07,30,125.9563416427
2014-07-01 08:00:00,17920,08,00,133.8656042455
2014-07-01 08:30:00,20346,08,30,142.6394054951
2014-07-01 09:00:00,19539,09,00,139.7819730867
2014-07-01 09:30:00,20107,09,30,141.7991537351
2014-07-01 10:00:00,18984,10,00,137.7824371972
2014-07-01 10:30:00,17720,10,30,133.1164903384
2014-07-01 11:00:00,17249,11,00,131.3354483755
2014-07-01 11:30:00,18463,11,30,135.8786223068
2014-07-01 12:00:00,18908,12,00,137.5063634891
2014-07-01 12:30:00,18886,12,30,137.4263439083
2014-07-01 13:00:00,18178,13,00,134.8258135522
2014-07-01 13:30:00,19459,13,30,139.4955196413
2014-07-01 14:00:00,19546,14,00,139.8070098386
2014-07-01 14:30:00,20591,14,30,143.4956445332
2014-07-01 15:00:00,19380,15,00,139.2120684424
2014-07-01 15:30:00,18544,15,30,136.1763562444
2014-07-01 16:00:00,16228,16,00,127.3891675144
2014-07-01 16:30:00,15013,16,30,122.5275479229
2014-07-01 17:00:00,17203,17,00,131.1602073801
2014-07-01 17:30:00,19525,17,30,139.7318861248
2014-07-01 18:00:00,22966,18,00,151.5453727436
2014-07-01 18:30:00,27598,18,30,166.1264578567
2014-07-01 19:00:00,26827,19,00,163.7894990529
2014-07-01 19:30:00,24904,19,30,157.8100123566
2014-07-01 20:00:00,22875,20,00,151.2448346225
2014-07-01 20:30:00,20394,20,30,142.8075628249
2014-07-01 21:00:00,23401,21,00,152.9738539751
2014-07-01 21:30:00,24439,21,30,156.3297796327
2014-07-01 22:00:00,23318,22,00,152.7023248022
2014-07-01 22:30:00,21733,22,30,147.4211653732
2014-07-01 23:00:00,20104,23,00,141.7885749981
